Month,50% Growth Portfolio Value (USD),30% Growth Portfolio Value (USD),20% Growth Portfolio Value (USD),ETH Balance (3.8% APY)
0,"$130,980.00","$130,980.00","$130,980.00",35.4
1,"$136,869.55","$134,679.64","$133,584.68",35.5121
2,"$143,023.93","$138,483.78","$136,241.16",35.62455498
3,"$149,455.04","$142,395.37","$138,950.47",35.73736607
4,"$156,175.33","$146,417.44","$141,713.65",35.8505344
5,"$163,197.79","$150,553.13","$144,531.79",35.96406109
6,"$170,536.03","$154,805.62","$147,405.96",36.07794729
7,"$178,204.23","$159,178.24","$150,337.29",36.19219412
8,"$186,217.23","$163,674.36","$153,326.92",36.30680273
9,"$194,590.54","$168,297.48","$156,375.99",36.42177428
10,"$203,340.36","$173,051.18","$159,485.70",36.53710989
11,"$212,483.61","$177,939.16","$162,657.26",36.65281074
12,"$222,038.00","$182,965.20","$165,891.88",36.76887798
13,"$232,022.00","$188,133.20","$169,190.82",36.88531276
14,"$242,454.93","$193,447.18","$172,555.37",37.00211625
15,"$253,356.99","$198,911.26","$175,986.82",37.11928961
16,"$264,749.25","$204,529.67","$179,486.52",37.23683403
17,"$276,653.78","$210,306.78","$183,055.80",37.35475067
18,"$289,093.59","$216,247.07","$186,696.07",37.47304072
19,"$302,092.77","$222,355.15","$190,408.73",37.59170535
20,"$315,676.45","$228,635.76","$194,195.22",37.71074575
21,"$329,870.93","$235,093.76","$198,057.01",37.83016311
22,"$344,703.67","$241,734.18","$201,995.59",37.94995862
23,"$360,203.36","$248,562.17","$206,012.50",38.07013349
24,"$376,400.01","$255,583.01","$210,109.29",38.19068892
25,"$393,324.94","$262,802.17","$214,287.54",38.3116261
26,"$411,010.90","$270,225.23","$218,548.89",38.43294625
27,"$429,492.12","$277,857.97","$222,894.98",38.55465058
28,"$448,804.36","$285,706.30","$227,327.49",38.6767403
29,"$468,984.97","$293,776.31","$231,848.15",38.79921665
30,"$490,073.01","$302,074.27","$236,458.71",38.92208083
31,"$512,109.28","$310,606.61","$241,160.95",39.04533409
32,"$535,136.41","$319,379.95","$245,956.71",39.16897765
33,"$559,198.97","$328,401.11","$250,847.83",39.29301274
34,"$584,343.51","$337,677.07","$255,836.22",39.41744062
35,"$610,618.68","$347,215.04","$260,923.80",39.54226251
36,"$638,075.31","$357,022.42","$266,112.56",39.66747968
37,"$666,766.55","$367,106.81","$271,404.51",39.79309336
38,"$696,747.89","$377,476.05","$276,801.69",39.91910482
39,"$728,077.35","$388,138.18","$282,306.20",40.04551532
40,"$760,815.55","$399,101.46","$287,920.17",40.17232612
41,"$795,025.84","$410,374.42","$293,645.78",40.29953849
42,"$830,774.39","$421,965.78","$299,485.25",40.42715369
43,"$868,130.39","$433,884.56","$305,440.85",40.55517301
44,"$907,166.12","$446,139.99","$311,514.88",40.68359773
45,"$947,957.10","$458,741.59","$317,709.70",40.81242912
46,"$990,582.25","$471,699.12","$324,027.71",40.94166848
47,"$1,035,124.06","$485,022.66","$330,471.36",41.0713171
48,"$1,081,668.70","$498,722.53","$337,043.15",41.20137627
49,"$1,130,306.23","$512,809.36","$343,745.63",41.33184729
50,"$1,181,130.76","$527,294.09","$350,581.39",41.46273148
51,"$1,234,240.64","$542,187.95","$357,553.10",41.59403012
52,"$1,289,738.61","$557,502.50","$364,663.44",41.72574455
53,"$1,347,732.06","$573,249.62","$371,915.17",41.85787608
54,"$1,408,333.21","$589,441.54","$379,311.12",41.99042602
55,"$1,471,659.30","$606,090.80","$386,854.14",42.1233957
56,"$1,537,832.87","$623,210.34","$394,547.17",42.25678645
57,"$1,606,981.96","$640,813.44","$402,393.18",42.39059961
58,"$1,679,240.35","$658,913.75","$410,395.21",42.52483651
59,"$1,754,747.86","$677,525.32","$418,556.38",42.65949849
60,"$1,833,650.58","$696,662.58","$426,879.84",42.7945869
61,"$1,916,101.19","$716,340.40","$435,368.81",42.9301031
62,"$2,002,259.21","$736,574.03","$444,026.61",43.06604842
63,"$2,092,291.35","$757,379.18","$452,856.57",43.20242424
64,"$2,186,371.81","$778,771.98","$461,862.13",43.33923192
65,"$2,284,682.63","$800,769.05","$471,046.77",43.47647282
66,"$2,387,414.02","$823,387.44","$480,414.06",43.61414832
67,"$2,494,764.75","$846,644.70","$489,967.62",43.75225979
68,"$2,606,942.54","$870,558.89","$499,711.17",43.89080861
69,"$2,724,164.44","$895,148.55","$509,648.49",44.02979617
70,"$2,846,657.25","$920,432.76","$519,783.41",44.16922386
71,"$2,974,657.98","$946,431.15","$530,119.88",44.30909307
72,"$3,108,414.31","$973,163.89","$540,661.91",44.4494052
73,"$3,248,185.02","$1,000,651.72","$551,413.57",44.59016165
74,"$3,394,240.56","$1,028,915.96","$562,379.04",44.73136382
75,"$3,546,863.53","$1,057,978.55","$573,562.57",44.87301314
76,"$3,706,349.23","$1,087,862.03","$584,968.50",45.01511102
77,"$3,873,006.26","$1,118,589.60","$596,601.25",45.15765887
78,"$4,047,157.06","$1,150,185.10","$608,465.33",45.30065812
79,"$4,229,138.60","$1,182,673.03","$620,565.34",45.44411021
80,"$4,419,302.99","$1,216,078.62","$632,905.97",45.58801656
81,"$4,618,018.18","$1,250,427.77","$645,492.01",45.73237861
82,"$4,825,668.65","$1,285,747.15","$658,328.33",45.87719781
83,"$5,042,656.18","$1,322,064.15","$671,419.92",46.0224756
84,"$5,269,400.62","$1,359,406.95","$684,771.85",46.16821344
85,"$5,506,340.68","$1,397,804.53","$698,389.30",46.31441278
86,"$5,753,934.82","$1,437,286.69","$712,277.55",46.46107509
87,"$6,012,662.09","$1,477,884.05","$726,441.98",46.60820183
88,"$6,283,023.11","$1,519,628.11","$740,888.09",46.75579447
89,"$6,565,540.99","$1,562,551.28","$755,621.47",46.90385448
90,"$6,860,762.37","$1,606,686.84","$770,647.84",47.05238335
91,"$7,169,258.45","$1,652,069.05","$785,973.03",47.20138257
92,"$7,491,626.15","$1,698,733.11","$801,602.98",47.35085361
93,"$7,828,489.20","$1,746,715.25","$817,543.74",47.50079798
94,"$8,180,499.39","$1,796,052.67","$833,801.51",47.65121718
95,"$8,548,337.82","$1,846,783.68","$850,382.58",47.8021127
96,"$8,932,716.21","$1,898,947.62","$867,293.38",47.95348605
97,"$9,334,378.27","$1,952,584.98","$884,540.47",48.10533876
98,"$9,754,101.18","$2,007,737.37","$902,130.55",48.25767233
99,"$10,192,697.05","$2,064,447.59","$920,070.41",48.4104883
100,"$10,651,014.51","$2,122,759.63","$938,367.04",48.56378817
101,"$11,129,940.33","$2,182,718.74","$957,027.51",48.7175735
102,"$11,630,401.19","$2,244,371.45","$976,059.06",48.87184582
103,"$12,153,365.41","$2,307,765.59","$995,469.08",49.02660667
104,"$12,699,844.86","$2,372,950.36","$1,015,265.09",49.18185759
105,"$13,270,896.92","$2,439,976.32","$1,035,454.76",49.33760014
106,"$13,867,626.48","$2,508,895.48","$1,056,045.93",49.49383587
107,"$14,491,188.16","$2,579,761.33","$1,077,046.58",49.65056635
108,"$15,142,788.46","$2,652,628.83","$1,098,464.85",49.80779314
109,"$15,823,688.15","$2,727,554.55","$1,120,309.04",49.96551782
110,"$16,535,204.68","$2,804,596.60","$1,142,587.63",50.12374196
111,"$17,278,714.76","$2,883,814.76","$1,165,309.26",50.28246714
112,"$18,055,656.96","$2,965,270.52","$1,188,482.73",50.44169496
113,"$18,867,534.59","$3,049,027.05","$1,212,117.03",50.60142699
114,"$19,715,918.53","$3,135,149.36","$1,236,221.32",50.76166484
115,"$20,602,450.28","$3,223,704.27","$1,260,804.95",50.92241011
116,"$21,528,845.18","$3,314,760.48","$1,285,877.46",51.08366441
117,"$22,496,895.69","$3,408,388.65","$1,311,448.56",51.24542935
118,"$23,508,474.85","$3,504,661.43","$1,337,528.17",51.40770654
119,"$24,565,539.95","$3,603,653.52","$1,364,126.41",51.57049761
120,"$25,670,136.28","$3,705,441.71","$1,391,253.58",51.73380419
